date,symbol,open,high,low,close,volume,openint,amount
2021-04-20,DFJ0,2133.0,2193.0,2127.5,2185.5,190362,141373,48584370000.0
2021-04-21,DFJ0,2194.0,2196.5,2136.0,2179.5,213191,142912,54666450000.0
2021-04-22,DFJ0,2173.5,2214.5,2160.0,2201.5,237111,150891,61385810000.0
2021-04-23,DFJ0,2211.0,2228.0,2177.0,2191.0,227427,149123,59191710000.00001
2021-04-26,DFJ0,2189.5,2282.5,2189.5,2264.5,254341,165313,67525569999.99999
2021-04-27,DFJ0,2278.5,2288.0,2255.5,2267.5,189596,159975,50914700000.0
2021-04-28,DFJ0,2268.0,2279.0,2240.5,2268.0,202073,164742,54068600000.0
2021-04-29,DFJ0,2271.5,2307.5,2246.0,2286.5,253734,173681,68309500000.0
2021-04-30,DFJ0,2289.5,2300.5,2198.5,2204.0,311712,159656,82615000000.0
2021-05-06,DFJ0,2268.0,2419.5,2268.0,2366.0,207847,154336,57465019999.99999
2021-05-07,DFJ0,2377.5,2413.0,2365.5,2399.5,177282,154056,50186680000.0
2021-05-10,DFJ0,2396.5,2538.5,2359.0,2497.0,319799,165635,93108270000.0
2021-05-11,DFJ0,2494.0,2494.0,2337.0,2390.5,377239,154790,107503200000.0
2021-05-12,DFJ0,2391.0,2475.0,2330.0,2422.0,373380,165713,106017900000.0
2021-05-13,DFJ0,2378.5,2446.5,2261.0,2307.0,448267,163926,125281600000.0
2021-05-14,DFJ0,2299.5,2314.5,2173.5,2210.0,388959,155478,103523600000.0
2021-05-17,DFJ0,2218.0,2248.0,2190.5,2226.5,293999,155353,77244710000.0
2021-05-18,DFJ0,2231.0,2267.0,2210.5,2248.0,237588,145947,62857070000.0
2021-05-19,DFJ0,2248.5,2274.5,2156.5,2174.0,299374,159579,78402060000.0
2021-05-20,DFJ0,2130.0,2147.0,2049.0,2107.0,372390,161167,92271460000.0
2021-05-21,DFJ0,2113.0,2116.5,1999.5,2004.5,373158,166256,90382740000.0
2021-05-24,DFJ0,1996.0,2033.0,1921.0,2013.0,360100,171854,84599610000.0
2021-05-25,DFJ0,2018.5,2052.5,1998.0,2005.0,290407,150992,69501930000.0
2021-05-26,DFJ0,2000.0,2058.0,1980.0,1988.5,335831,171114,80134930000.0
2021-05-27,DFJ0,1975.0,2053.5,1941.5,2044.5,359922,171771,85381250000.00002
2021-05-28,DFJ0,2047.5,2083.0,2012.0,2056.5,325919,165093,78837850000.0
2021-05-31,DFJ0,2040.0,2134.0,2035.0,2095.5,327500,166009,80896060000.0
2021-06-01,DFJ0,2089.0,2189.0,2067.5,2185.5,350956,166693,88527310000.0
2021-06-02,DFJ0,2182.5,2209.5,2147.0,2181.0,317873,163129,81971790000.0
2021-06-03,DFJ0,2185.0,2309.5,2179.5,2278.0,388691,182283,103420600000.0
2021-06-04,DFJ0,2257.0,2274.0,2128.0,2144.0,480315,164121,124582600000.00002
2021-06-07,DFJ0,2160.5,2187.5,2103.0,2113.0,344554,153427,87637030000.0
2021-06-08,DFJ0,2117.5,2175.5,2092.5,2160.5,317737,158416,79996870000.0
2021-06-09,DFJ0,2174.0,2234.5,2150.5,2218.0,296908,157876,77056040000.0
2021-06-10,DFJ0,2216.5,2239.5,2178.5,2179.5,306253,155559,80065920000.0
2021-06-11,DFJ0,2191.5,2303.0,2191.5,2300.5,335855,164102,89500110000.0
2021-06-15,DFJ0,2282.0,2317.5,2199.0,2302.5,330719,177597,88254920000.0
2021-06-16,DFJ0,2302.5,2320.5,2262.0,2272.5,312375,170130,84644700000.0
2021-06-17,DFJ0,2265.5,2340.5,2244.5,2327.5,337235,186419,91636270000.0
2021-06-18,DFJ0,2340.5,2384.0,2274.0,2277.0,404727,179732,111928100000.0
2021-06-21,DFJ0,2281.5,2292.0,2198.0,2211.5,368181,172722,98315620000.0
2021-06-22,DFJ0,2207.0,2275.5,2188.0,2266.5,312121,173893,82287370000.0
2021-06-23,DFJ0,2267.5,2358.5,2253.5,2353.5,342772,194481,93625709999.99998
2021-06-24,DFJ0,2360.0,2397.0,2331.5,2358.5,327684,191020,91613360000.0
2021-06-25,DFJ0,2364.0,2410.0,2360.0,2390.0,298416,192532,84391050000.0
2021-06-28,DFJ0,2393.0,2400.0,2275.0,2294.0,380870,181966,104809800000.0
2021-06-29,DFJ0,2277.5,2303.0,2221.0,2225.0,287574,155117,76871530000.0
2021-06-30,DFJ0,2223.0,2250.0,2201.5,2226.0,268650,161132,70698380000.0
2021-07-01,DFJ0,2229.0,2253.5,2172.5,2175.0,283184,163347,74316520000.0
2021-07-02,DFJ0,2177.5,2244.5,2161.0,2232.5,313688,164499,81309460000.0
2021-07-05,DFJ0,2236.0,2271.5,2199.5,2267.0,268401,150439,70946680000.0
2021-07-06,DFJ0,2273.0,2302.5,2226.0,2233.0,283012,152533,75967140000.0
2021-07-07,DFJ0,2226.0,2237.0,2178.5,2214.0,319628,146254,83468100000.0
2021-07-08,DFJ0,2219.0,2227.0,2086.5,2089.5,449251,181424,113932200000.0
